,area_name,district_name,name,result_protiv,result_unom_type,result_yavka,result_za,status,updated_at
3570,Можайский,ЗАО,"Сколковское шоссе, дом 22, корпус 1",20.0,1,71.0,80.0,in_list,06.06
3571,Нагорный,ЮАО,"Симферопольский бульвар, дом 33, корпус 2",3.0,1,63.0,97.0,in_list,06.06
3572,Можайский,ЗАО,"Сколковское шоссе, дом 24",24.0,1,73.0,76.0,in_list,06.06
3573,Нагорный,ЮАО,"Симферопольский бульвар, дом 35, корпус 1",12.0,1,68.0,88.0,in_list,06.06
3574,Нагорный,ЮАО,"Симферопольский бульвар, дом 35, корпус 2",10.0,1,71.0,90.0,in_list,06.06
3575,Можайский,ЗАО,"Сколковское шоссе, дом 26, корпус 1",0.0,1,75.0,100.0,in_list,06.06
3576,Нагорный,ЮАО,"Симферопольский проезд, дом 10",33.0,1,54.0,67.0,in_list,06.06
3577,Можайский,ЗАО,"Сколковское шоссе, дом 7",54.0,1,69.0,46.0,in_list,06.06
3578,Нагорный,ЮАО,"Симферопольский проезд, дом 3",17.0,1,80.0,83.0,in_list,06.06
3579,Нагорный,ЮАО,"Симферопольский проезд, дом 4",10.0,1,60.0,90.0,in_list,06.06
3580,Люблино,ЮВАО,"Совхозная улица, дом 25/14",5.0,1,65.0,95.0,in_list,06.06
3581,Нагорный,ЮАО,"Симферопольский проезд, дом 5",15.0,1,50.0,85.0,in_list,06.06
3582,Люблино,ЮВАО,"Совхозная улица, дом 27",19.0,1,46.0,81.0,in_list,06.06
3583,Нагорный,ЮАО,"Симферопольский проезд, дом 6",6.0,1,71.0,94.0,in_list,06.06
3584,Нагорный,ЮАО,"Симферопольский проезд, дом 7",6.0,1,60.0,94.0,in_list,06.06
3585,Нагорный,ЮАО,"Симферопольский проезд, дом 8",23.0,1,55.0,77.0,in_list,06.06
3586,Люблино,ЮВАО,"Совхозная улица, дом 31",6.0,1,58.0,94.0,in_list,06.06
3587,Лефортово,ЮВАО,"2-я улица Синичкина, дом 15",7.0,1,68.0,93.0,in_list,06.06
3588,Люблино,ЮВАО,"Совхозная улица, дом 31А",25.0,1,50.0,75.0,in_list,06.06
3589,Лефортово,ЮВАО,"2-я улица Синичкина, дом 16",13.0,1,69.0,87.0,in_list,06.06
3590,Кузьминки,ЮВАО,"Зеленодольская улица, дом 17, корпус 5",10.0,1,51.0,90.0,in_list,06.06
3591,Люблино,ЮВАО,"Совхозная улица, дом 53, корпус 1",4.0,1,60.0,96.0,in_list,06.06
3592,Лефортово,ЮВАО,"2-я улица Синичкина, дом 17",16.0,1,57.0,84.0,in_list,06.06
3593,Люблино,ЮВАО,"Совхозная улица, дом 53, корпус 2",4.0,1,64.0,96.0,in_list,06.06
3594,Лефортово,ЮВАО,"2-я улица Синичкина, дом 24А",59.0,1,55.0,41.0,in_list,06.06
3595,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 12",58.0,1,43.0,42.0,in_list,06.06
3596,Лефортово,ЮВАО,"2-я улица Синичкина, дом 7",9.0,1,48.0,91.0,in_list,06.06
3597,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 12А",26.0,1,57.0,74.0,in_list,06.06
3598,Богородское,ВАО,"Открытое шоссе, дом 3, корпус 1",4.0,1,45.0,96.0,in_list,06.06
3599,Лефортово,ЮВАО,"2-я улица Синичкина, дом 9",5.0,1,57.0,95.0,in_list,06.06
3600,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 14",25.0,1,47.0,75.0,in_list,06.06
3601,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 11, корпус 1",14.0,1,37.0,86.0,in_list,06.06
3602,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 17",36.0,1,53.0,64.0,in_list,06.06
3603,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 11, корпус 2",6.0,1,59.0,94.0,in_list,06.06
3604,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 19",30.0,1,66.0,70.0,in_list,06.06
3605,Богородское,ВАО,"Открытое шоссе, дом 3, корпус 9",17.0,1,50.0,83.0,in_list,06.06
3606,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 11, корпус 3",16.0,1,34.0,84.0,in_list,06.06
3607,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 19А",0.0,1,63.0,100.0,in_list,06.06
3608,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 23",34.0,1,58.0,66.0,in_list,06.06
3609,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 19Б",7.0,1,50.0,93.0,in_list,06.06
3610,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 25",9.0,1,38.0,91.0,in_list,06.06
3611,Богородское,ВАО,"Открытое шоссе, дом 5, корпус 4",13.0,1,50.0,87.0,in_list,06.06
3612,Соколиная Гора,ВАО,"3-я улица Соколиной Горы, дом 21",47.0,1,71.0,53.0,in_list,06.06
3613,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 27, корпус 2",8.0,1,50.0,92.0,in_list,06.06
3614,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 19",10.0,1,62.0,90.0,in_list,06.06
3615,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 27, корпус 3",14.0,1,42.0,86.0,in_list,06.06
3616,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 20, корпус 1",9.0,1,54.0,91.0,in_list,06.06
3617,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 29, корпус 2",8.0,1,54.0,92.0,in_list,06.06
3618,Богородское,ВАО,"бульвар Маршала Рокоссовского, дом 10",17.0,1,50.0,83.0,in_list,06.06
